noga2008;noga2002;p
620100;72.22A;0.996604542
620100;72.21A;0.003395458
620100;72.40A;0
620200;72.22A;0.866474953
620200;72.10A;0.133525047
620300;72.30A;1
620900;72.60A;0.995579134
620900;30.02A;0.00265252
620900;72.22A;0.001768347
631100;72.40A;0.648016811
631100;72.30A;0.351983189
631200;72.40A;1
639100;92.40A;1
639900;74.87D;1
641100;65.11A;1
641901;65.12A;1
641902;65.12B;1
641903;65.12C;1
641904;65.12D;1
641905;65.12E;1
641906;65.12F;1
641907;65.12G;1
641908;65.12H;1
641909;65.12I;1
641910;65.12J;1
641911;65.12K;1
641912;65.12L;1
642001;65.23B;1
642001;74.15A;0
642002;65.23B;0.769854133
642002;74.15B;0.230145867
643000;65.23A;1
649100;65.21A;1
649201;65.22A;1
649202;65.22B;0.985507246
649202;65.23D;0.014492754
649901;65.23B;1
649902;65.23C;1
649903;65.23D;1
649903;65.22B;0
651100;66.01A;1
651201;75.30A;1
651202;66.03A;1
651203;66.03C;1
651204;66.03D;0.888510638
651204;75.30C;0.111489362
652000;66.03B;0.999772572
652000;66.01A;0.000227428
652000;66.02A;0
653000;66.02A;1
661100;67.11A;1
661200;67.12A;1
661200;67.13A;0
661900;67.13A;1
662100;67.20A;1
662200;67.20A;1
662901;75.30C;1
662902;67.20A;1
663001;65.23A;1
663002;67.12B;1
681000;70.12A;1
682001;70.20A;1
682002;70.20B;1
683100;70.31A;1
683200;70.32A;1
691001;74.11A;1
691002;74.11B;1
692000;74.12A;1
701001;74.15A;1
701002;74.15B;1
702100;74.14A;1
702200;74.14A;1
702200;05.01A;0
711101;74.20A;1
711102;74.20F;1
711103;74.20G;1
711201;74.20C;1
711202;74.20C;1
711203;74.20D;1
711204;74.20E;1
711205;74.20H;1
712000;74.30A;1
721100;73.10A;1
721900;73.10A;1
722000;73.20A;0.66991553
722000;73.10A;0.33008447
731100;74.40A;1
731200;74.40B;1
732000;74.13A;1
741001;74.87B;1
741002;74.87B;1
741003;74.20B;0.649377593
741003;74.87A;0.350622407
742001;74.81A;0.910262767
742001;92.40B;0.089737234
742001;74.20H;0
742002;74.81B;1
743000;74.85B;1
749000;74.87D;0.433340703
749000;74.20D;0.201857174
749000;74.20H;0.19036038
749000;63.40A;0.149458324
749000;74.14A;0.024762326
749000;74.60A;0.000221092
750000;85.20A;1
771100;71.10A;1
771200;71.21A;1
772100;71.40A;1
772200;71.40A;1
772900;71.40A;1
773100;71.31A;1
773200;71.32A;1
773300;71.33A;1
773400;71.22A;1
773500;71.23A;1
773900;71.34A;0.8847981
773900;71.21A;0.1152019
773900;71.32A;0
774000;74.87D;1
781000;74.50A;0.994456177
781000;92.72A;0.005543823
782000;74.50A;1
783000;74.50A;1
791100;63.30A;1
791200;63.30A;1
799001;70.31A;1
799002;63.30A;0.850843955
799002;92.62B;0.078539442
799002;92.32B;0.067860834
799002;92.72A;0.001722356
799002;92.34A;0.001033414
801000;74.60A;1
802000;45.31A;0.566479401
802000;74.60A;0.433520599
803000;74.60A;1
811000;75.14A;0.505490272
811000;70.32A;0.494509728
812100;74.70B;1
812201;74.70A;1
812202;74.70B;0.746008708
812202;74.70C;0.253991292
812900;90.03A;0.578561533
812900;74.70C;0.421438467
813000;01.41B;1
821100;74.85A;0.986554622
821100;74.85B;0.013445378
821100;74.85C;0
821901;74.85A;1
821901;64.11A;0
821902;74.85C;1
822000;74.86A;1
823000;74.87C;1
829100;74.87D;1
829200;74.82A;1
829900;74.87D;0.99602122
829900;74.85A;0.00397878
829900;75.13A;0
841100;75.11A;0.864577663
841100;75.14A;0.135422337
841200;75.12A;1
841300;75.13A;1
842100;75.21A;1
842201;75.22A;1
842202;75.22B;1
842301;75.23A;1
842302;75.23B;1
842400;75.24A;1
842500;75.25A;1
843000;75.30B;1
851000;80.10A;1
852001;80.10B;1
852002;80.10C;1
852003;80.10D;1
853101;80.21A;1
853102;80.21B;1
853103;80.21C;1
853200;80.22A;1
853200;63.22A;0
854100;80.30C;1
854201;80.30A;1
854202;80.30B;1
854203;80.30C;0.934326968
854203;63.23A;0.065673032
855100;92.62B;0.891318328
855100;80.42E;0.088745981
855100;93.05A;0.019935691
855200;80.42B;0.935633847
855200;92.34A;0.064366154
855300;80.41A;1
855901;80.42C;1
855902;80.42D;1
855903;80.42A;1
855904;80.42E;1
856000;74.14A;1
861001;85.11A;1
861002;85.11B;1
862100;85.12A;1
862200;85.12B;1
862300;85.13A;1
869001;85.14A;1
869002;85.14B;1
869003;85.14C;1
869004;85.14C;1
869005;85.14D;1
869006;85.14E;1
869007;85.14F;1
871000;85.31B;1
872001;85.31D;0.945496271
872001;85.11B;0.051061388
872001;85.14F;0.003442341
872001;85.14A;0
872002;85.31E;0.910582719
872002;85.14A;0.06932351
872002;85.11B;0.018084394
872002;85.14F;0.002009377
873001;85.31A;0.997818182
873001;85.14F;0.002181818
873002;85.31C;0.994918816
873002;85.14F;0.005081184
879001;85.31F;1
879002;85.31G;1
879003;85.31H;1
881000;85.32B;1
889100;85.32A;1
889901;85.32C;1
889902;85.32D;1
889902;75.21A;0
900101;92.31A;0.711503623
900101;92.34A;0.288496377
900102;92.31B;1
900200;92.31A;0.672846238
900200;92.31B;0.176663032
900200;92.32B;0.136314068
900200;92.34A;0.014176663
900301;92.31C;1
900302;92.31D;1
900303;92.40B;1
900400;92.32A;1
910100;92.51A;0.89827453
910100;75.14A;0.10172547
910200;92.52A;1
910300;92.52A;1
910400;92.53A;1
920000;92.71A;1
931100;92.61A;1
931100;92.62B;0
931200;92.62A;1
931300;93.04B;1
931900;92.62B;1
932100;92.33A;1
932900;92.72A;0.562469616
932900;92.34A;0.371900826
932900;92.62B;0.065629558
941100;91.11A;1
