ngae1985;noga1995;p
36;32;0.206703491
36;33;0.345601774
37;19;0.005024116
37;25;0.000172255
37;26;0.010737253
37;28;0.026154111
37;33;0.789073266
37;36;0.168838999
38;22;0.002458925
38;25;0.223035654
38;29;0.006538505
38;36;0.398737007
38;45;0.057002347
38;74;0.312227562
41;20;0.021089919
41;45;0.978910081
42;45;1
51;51;1
52;50;0.071536431
52;51;0.92846357
53;51;1
54;50;0.047437775
54;51;0.952562226
55;50;0.062034388
55;52;0.937965612
56;52;0.997318498
56;71;0.002681502
57;55;0.987154469
57;85;0.003266793
57;92;0.009578738
58;29;0.032784439
58;33;0.000732462
58;36;0.009467745
58;50;0.798613749
58;51;0.027209593
58;52;0.08454506
58;72;0.040882209
58;92;0.005764744
61;60;1
62;60;0.985418365
62;63;0.014581635
63;35;0.004734528
63;61;0.861345959
63;63;0.133919513
64;62;0.748831488
64;63;0.251168512
65;63;0.934339352
65;64;0.024521692
65;74;0.041138956
66;60;0.006309376
66;64;0.972452427
66;65;0.021238197
71;65;0.982305355
71;67;0.017694645
72;66;0.963649687
72;67;0.036350313
73;70;1
74;65;0.083038087
74;71;0.876882197
74;92;0.040079717
75;72;0.128560828
75;74;0.865199291
75;92;0.006239881
76;1;0.010517586
76;50;0.003750895
76;74;0.303520941
76;92;0.00397708
76;93;0.678233498
81;80;0.99429908
81;85;0.004916703
81;92;0.000784218
82;73;0.832434314
82;74;0.167565686
83;1;0.001924765
83;33;0.01555249
83;85;0.982522745
84;74;0.018664047
84;90;0.981335953
85;55;0.000485343
85;85;0.999514657
86;91;1
87;63;0.133988074
87;91;0.713696948
87;92;0.152314977
88;91;0.042684503
88;92;0.901479902
88;93;0.055835595
91;74;0.016256052
91;75;0.983743948
92;75;1
